                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.72699,                0.44279,                 1.0264,                0.99951,                      1,                  0.995,                0.88891,                0.53904,                0.26836,                0.93907,               0.003367,               0.003367,               0.003367
                     69,                0.73647,                0.44329,                  1.035,                0.99962,                      1,                  0.995,                0.88659,                0.52184,                0.26509,                 0.9221,               0.003268,               0.003268,               0.003268
                     70,                0.73644,                0.44395,                 1.0333,                0.99978,                      1,                  0.995,                0.88606,                0.52839,                 0.2706,                0.92506,               0.003169,               0.003169,               0.003169
                     71,                0.72132,                0.43894,                 1.0291,                0.99965,                      1,                  0.995,                0.88694,                0.53078,                0.26566,                0.91309,                0.00307,                0.00307,                0.00307
                     72,                0.73296,                 0.4412,                 1.0285,                0.99968,                      1,                  0.995,                0.88342,                0.53502,                0.27197,                0.92637,               0.002971,               0.002971,               0.002971
                     73,                0.71527,                0.43527,                 1.0201,                0.99972,                      1,                  0.995,                0.88946,                0.52883,                0.26709,                0.92365,               0.002872,               0.002872,               0.002872
                     74,                0.71833,                0.43003,                 1.0258,                0.99975,                      1,                  0.995,                0.89024,                0.53538,                0.26463,                0.92933,               0.002773,               0.002773,               0.002773
                     75,                0.70794,                0.43314,                 1.0172,                0.99962,                      1,                  0.995,                 0.8973,                 0.5164,                0.25792,                0.91953,               0.002674,               0.002674,               0.002674
                     76,                0.69909,                0.42572,                 1.0131,                0.99882,                      1,                  0.995,                0.89484,                0.51243,                0.26022,                0.91796,               0.002575,               0.002575,               0.002575
                     77,                0.69446,                0.42304,                 1.0153,                0.99963,                      1,                  0.995,                0.90061,                0.49692,                0.25937,                0.90459,               0.002476,               0.002476,               0.002476
                     78,                0.68344,                0.41398,                 1.0092,                0.99967,                      1,                  0.995,                0.89715,                0.49289,                0.25699,                0.90686,               0.002377,               0.002377,               0.002377
                     79,                0.69636,                0.42218,                 1.0207,                0.99972,                      1,                  0.995,                0.90066,                0.47791,                0.25037,                0.89763,               0.002278,               0.002278,               0.002278
                     80,                0.69116,                0.42103,                 1.0138,                0.99973,                      1,                  0.995,                0.89999,                0.47468,                0.25246,                0.89529,               0.002179,               0.002179,               0.002179
                     81,                0.68055,                 0.4051,                 1.0031,                0.99971,                      1,                  0.995,                0.90324,                0.48911,                0.24681,                0.91452,                0.00208,                0.00208,                0.00208
                     82,                0.68439,                0.41271,                 1.0128,                0.99972,                      1,                  0.995,                0.90172,                0.49625,                0.25357,                 0.9038,               0.001981,               0.001981,               0.001981
                     83,                0.67524,                0.41088,                 1.0126,                0.99974,                      1,                  0.995,                0.90388,                0.47984,                0.25094,                 0.9001,               0.001882,               0.001882,               0.001882
                     84,                0.67425,                0.40802,                0.99983,                0.99975,                      1,                  0.995,                 0.9028,                0.48019,                0.24736,                0.90597,               0.001783,               0.001783,               0.001783
                     85,                0.67319,                0.41846,                 1.0121,                0.99973,                      1,                  0.995,                0.90098,                0.47408,                0.24441,                0.89831,               0.001684,               0.001684,               0.001684
                     86,                0.65852,                0.40649,                 1.0015,                0.99963,                      1,                  0.995,                0.90909,                0.45913,                0.24322,                0.89282,               0.001585,               0.001585,               0.001585
                     87,                0.65792,                0.40205,                  0.999,                 0.9997,                      1,                  0.995,                0.90517,                0.45337,                0.24108,                0.88853,               0.001486,               0.001486,               0.001486
                     88,                0.66202,                0.40542,                 1.0043,                0.99973,                      1,                  0.995,                0.90813,                0.45674,                0.23822,                0.88757,               0.001387,               0.001387,               0.001387
                     89,                0.65776,                0.40664,                0.99785,                0.99975,                      1,                  0.995,                0.91153,                0.43302,                0.23541,                0.88093,               0.001288,               0.001288,               0.001288
                     90,                0.64137,                 0.4009,                0.99319,                0.99971,                      1,                  0.995,                0.90321,                0.47401,                0.24064,                0.89434,               0.001189,               0.001189,               0.001189
                     91,                0.62964,                0.38896,                0.99079,                0.99975,                      1,                  0.995,                0.91156,                0.45533,                0.23614,                0.88834,                0.00109,                0.00109,                0.00109
                     92,                0.62837,                0.38308,                0.98431,                0.99979,                      1,                  0.995,                0.90786,                0.46231,                0.23702,                0.88751,               0.000991,               0.000991,               0.000991
                     93,                 0.6225,                0.38586,                0.98277,                 0.9998,                      1,                  0.995,                0.90556,                0.45461,                 0.2325,                0.88767,               0.000892,               0.000892,               0.000892
                     94,                0.61146,                0.38224,                0.98048,                0.99974,                      1,                  0.995,                0.90337,                0.46186,                0.23048,                0.88816,               0.000793,               0.000793,               0.000793
                     95,                0.62377,                0.38661,                0.98689,                0.99971,                      1,                  0.995,                0.91208,                0.45539,                0.23009,                 0.8849,               0.000694,               0.000694,               0.000694
                     96,                0.62416,                0.38973,                0.98769,                0.99978,                      1,                  0.995,                0.91878,                0.44229,                0.22947,                0.88446,               0.000595,               0.000595,               0.000595
                     97,                  0.604,                0.37461,                0.97883,                 0.9998,                      1,                  0.995,                0.91449,                0.44225,                0.22984,                0.88073,               0.000496,               0.000496,               0.000496
                     98,                 0.6098,                0.38161,                0.97967,                0.99981,                      1,                  0.995,                0.91959,                 0.4335,                0.22614,                0.87696,               0.000397,               0.000397,               0.000397
                     99,                0.60271,                0.37843,                0.97912,                0.99981,                      1,                  0.995,                0.91692,                0.43487,                0.22491,                 0.8782,               0.000298,               0.000298,               0.000298
