                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.1028,                0.92947,                 1.3164,                 0.8226,                0.68162,                 0.7864,                0.37175,                 1.8264,                 1.1457,                  1.785,               0.005347,               0.005347,               0.005347
                     49,                 1.1093,                0.92841,                 1.3053,                0.75659,                0.73566,                0.76697,                0.38611,                 1.7454,                 1.1252,                 1.7255,               0.005248,               0.005248,               0.005248
                     50,                 1.0676,                0.89121,                 1.2765,                0.73144,                 0.7533,                0.77861,                0.39664,                 1.7111,                 1.1405,                 1.6878,               0.005149,               0.005149,               0.005149
                     51,                 1.0722,                0.88748,                 1.2728,                0.79827,                0.73076,                0.78278,                 0.4177,                 1.6629,                 1.0511,                 1.6495,                0.00505,                0.00505,                0.00505
                     52,                 1.0161,                0.86335,                 1.2676,                0.75739,                0.78897,                0.81784,                0.40435,                 1.7559,                 1.0797,                 1.7532,               0.004951,               0.004951,               0.004951
                     53,                 1.0503,                0.86553,                 1.2693,                0.71693,                0.75812,                0.76816,                0.39853,                 1.7687,                 1.0215,                 1.7424,               0.004852,               0.004852,               0.004852
                     54,                 1.0384,                0.85185,                 1.2809,                0.65408,                0.78602,                0.77722,                0.39551,                 1.7748,                 1.0416,                 1.7748,               0.004753,               0.004753,               0.004753
                     55,                 1.0297,                0.84347,                 1.2538,                0.66887,                 0.7375,                0.69056,                0.35118,                 1.8441,                 1.0958,                 1.8328,               0.004654,               0.004654,               0.004654
                     56,                 1.0395,                0.84261,                 1.2608,                0.74153,                0.68727,                0.70517,                 0.3581,                 1.7835,                  1.061,                 1.7445,               0.004555,               0.004555,               0.004555
                     57,                 1.0384,                0.86322,                 1.2721,                 0.7342,                0.71565,                0.75301,                0.36326,                  1.785,                  1.075,                 1.7496,               0.004456,               0.004456,               0.004456
                     58,                0.99411,                0.84116,                 1.2483,                 0.7394,                0.71238,                 0.7652,                0.37531,                   1.74,                 1.0497,                 1.7499,               0.004357,               0.004357,               0.004357
                     59,                  1.016,                0.82874,                 1.2352,                0.64315,                0.76954,                0.72176,                0.34991,                 1.8502,                 1.0581,                 1.8516,               0.004258,               0.004258,               0.004258
                     60,                 1.0069,                0.82819,                 1.2438,                0.76382,                0.70515,                0.76213,                0.35919,                 1.8876,                 1.0948,                 1.8415,               0.004159,               0.004159,               0.004159
                     61,                0.99662,                0.83503,                  1.236,                0.75244,                0.73237,                 0.7495,                0.36534,                 1.8215,                 1.0476,                 1.8189,                0.00406,                0.00406,                0.00406
                     62,                  1.017,                0.83142,                 1.2497,                0.67282,                 0.7077,                0.73348,                 0.3648,                 1.7616,                 1.0541,                 1.7708,               0.003961,               0.003961,               0.003961
                     63,                 1.0097,                0.83562,                 1.2472,                0.66265,                0.75699,                0.74572,                0.40099,                 1.6797,                0.99437,                 1.6858,               0.003862,               0.003862,               0.003862
                     64,                 0.9758,                0.80758,                 1.2243,                0.72598,                0.73675,                0.75001,                0.37853,                 1.7374,                0.99651,                 1.7405,               0.003763,               0.003763,               0.003763
                     65,                0.98101,                0.79435,                 1.2328,                0.82464,                 0.7683,                0.80016,                 0.3853,                 1.7959,                 1.0378,                 1.7663,               0.003664,               0.003664,               0.003664
                     66,                0.97951,                0.78263,                 1.2361,                0.76687,                0.70552,                0.75018,                0.38502,                 1.7278,                0.96876,                 1.7401,               0.003565,               0.003565,               0.003565
                     67,                0.97542,                0.79109,                 1.2302,                0.74384,                0.78438,                0.81543,                0.38753,                 1.7766,                0.99766,                 1.7788,               0.003466,               0.003466,               0.003466
                     68,                0.96244,                0.76973,                 1.2155,                0.71288,                0.75985,                0.77167,                0.36515,                 1.8829,                 1.0135,                 1.8278,               0.003367,               0.003367,               0.003367
                     69,                0.94104,                0.76344,                 1.2122,                0.76854,                0.75659,                0.79997,                0.40166,                 1.7055,                0.98998,                 1.6951,               0.003268,               0.003268,               0.003268
                     70,                0.94065,                0.75376,                 1.2195,                0.77068,                   0.77,                0.78688,                0.38519,                   1.77,                 1.0111,                 1.7314,               0.003169,               0.003169,               0.003169
                     71,                0.95048,                 0.7624,                 1.2223,                0.81165,                0.78821,                0.81032,                0.39421,                 1.8293,                 1.0101,                 1.7983,                0.00307,                0.00307,                0.00307
                     72,                0.93539,                0.75924,                 1.2144,                 0.7837,                0.71965,                0.78225,                0.39132,                 1.7322,                0.98181,                 1.7438,               0.002971,               0.002971,               0.002971
                     73,                0.94186,                0.73233,                 1.1955,                0.74593,                0.71003,                0.75083,                0.40195,                 1.6851,                 1.0003,                  1.696,               0.002872,               0.002872,               0.002872
                     74,                0.93186,                  0.736,                 1.1996,                0.72894,                0.74667,                0.76096,                0.38314,                 1.7938,                  1.007,                 1.7805,               0.002773,               0.002773,               0.002773
                     75,                 0.9425,                0.74133,                  1.213,                0.77334,                0.72554,                0.78354,                0.39793,                  1.764,                0.96717,                 1.7436,               0.002674,               0.002674,               0.002674
                     76,                0.91116,                0.72176,                 1.1961,                0.86355,                0.72695,                0.80709,                0.40698,                 1.6925,                0.97277,                 1.6858,               0.002575,               0.002575,               0.002575
                     77,                0.89826,                0.71837,                 1.1719,                0.72403,                0.77558,                0.78222,                0.40794,                 1.7107,                0.95454,                 1.7095,               0.002476,               0.002476,               0.002476
                     78,                0.90601,                0.72348,                  1.184,                0.74946,                0.73607,                0.75872,                 0.3962,                 1.7703,                 0.9594,                  1.773,               0.002377,               0.002377,               0.002377
                     79,                0.90807,                0.70952,                  1.158,                0.76514,                0.75031,                0.75942,                0.40688,                 1.7136,                0.93896,                 1.7271,               0.002278,               0.002278,               0.002278
                     80,                0.88049,                0.69865,                 1.1565,                0.76077,                0.74158,                0.76889,                0.40394,                 1.7841,                0.98523,                 1.7716,               0.002179,               0.002179,               0.002179
                     81,                 0.8928,                0.69828,                 1.1771,                0.77367,                0.75264,                 0.7605,                0.40705,                 1.6986,                0.94965,                 1.7028,                0.00208,                0.00208,                0.00208
                     82,                0.89502,                0.72265,                 1.1783,                 0.7595,                0.71882,                0.74822,                0.40547,                 1.6914,                0.96519,                 1.7329,               0.001981,               0.001981,               0.001981
                     83,                 0.8846,                 0.7055,                 1.1748,                0.72318,                0.77159,                0.76441,                0.39526,                 1.7149,                 0.9932,                 1.7904,               0.001882,               0.001882,               0.001882
                     84,                0.86003,                0.68148,                 1.1561,                0.79753,                0.72361,                0.76332,                0.40038,                 1.7163,                0.93298,                 1.7652,               0.001783,               0.001783,               0.001783
                     85,                0.83731,                0.67281,                  1.143,                0.77329,                 0.7961,                0.79735,                0.40331,                 1.7481,                0.93028,                 1.7966,               0.001684,               0.001684,               0.001684
                     86,                0.84989,                  0.687,                  1.148,                0.79438,                0.73237,                0.77736,                0.40033,                  1.763,                0.94236,                 1.7915,               0.001585,               0.001585,               0.001585
                     87,                0.85337,                0.68093,                 1.1481,                0.76229,                0.76329,                0.77655,                0.40987,                 1.7292,                0.95485,                 1.7564,               0.001486,               0.001486,               0.001486
                     88,                0.83141,                0.67137,                 1.1445,                 0.7287,                0.72778,                0.75383,                0.40915,                   1.73,                 0.9701,                 1.7768,               0.001387,               0.001387,               0.001387
                     89,                0.83877,                0.65912,                 1.1445,                0.79034,                0.74232,                0.77095,                0.40559,                 1.6946,                 1.0038,                 1.7354,               0.001288,               0.001288,               0.001288
                     90,                0.76419,                0.57719,                 1.1114,                 0.8412,                0.70829,                0.77806,                0.39528,                 1.6753,                 1.0174,                 1.7239,               0.001189,               0.001189,               0.001189
                     91,                0.74551,                0.55507,                  1.098,                 0.7796,                0.71986,                0.75219,                0.38972,                  1.735,                 1.0238,                 1.7619,                0.00109,                0.00109,                0.00109
                     92,                 0.7301,                0.52702,                 1.0696,                0.85948,                0.71058,                  0.774,                0.39567,                 1.7287,                0.98637,                 1.7697,               0.000991,               0.000991,               0.000991
                     93,                0.70554,                0.51387,                  1.057,                0.86846,                0.68388,                0.78181,                0.40613,                 1.7382,                0.97837,                 1.7939,               0.000892,               0.000892,               0.000892
                     94,                0.70647,                0.52455,                 1.0611,                0.82443,                0.71565,                0.78202,                0.40755,                 1.7545,                0.95549,                 1.7993,               0.000793,               0.000793,               0.000793
                     95,                0.68204,                0.51941,                 1.0468,                0.82955,                0.69128,                0.77289,                0.39502,                 1.7558,                0.96198,                 1.8105,               0.000694,               0.000694,               0.000694
                     96,                0.68607,                0.51286,                  1.053,                0.76962,                0.68981,                0.74192,                 0.3889,                 1.7443,                0.96358,                 1.8114,               0.000595,               0.000595,               0.000595
                     97,                0.67804,                0.50178,                 1.0505,                0.80182,                0.70793,                 0.7815,                0.39171,                 1.7218,                0.95148,                 1.7889,               0.000496,               0.000496,               0.000496
                     98,                0.66573,                0.49261,                 1.0378,                0.87838,                0.67267,                0.78897,                0.39615,                 1.7187,                0.95647,                 1.7913,               0.000397,               0.000397,               0.000397
                     99,                0.66643,                 0.5032,                 1.0369,                0.85419,                0.69605,                0.79036,                0.39422,                  1.698,                0.96238,                  1.774,               0.000298,               0.000298,               0.000298
